device=gpu kind=NVIDIA A100-SXM4-40GB
loading datasets...
train=(4096, 64, 64, 3), val=(512, 64, 64, 3)
=== RGB E2E CNN Experiment ===
train_npz=/lustre06/project/6102186/liamfitz/fouriax/experiments/data/cartoon_faces_nx64_shards
valid_npz=/lustre06/project/6102186/liamfitz/fouriax/experiments/data/cartoon_faces_nx64_shards
grids: sensor=64x64 @ 0.60 um, meta/field=64x64 @ 0.60 um
wavelengths_um=[1.3       1.1304348 1.       ]
epochs=50, batch_size=64, optical_lr=5.00e-03, decoder_lr=1.00e-03
optimizing...
  batch=013/064 train_loss=0.025608 batch_time=0.13s elapsed=93.48s
  batch=014/064 train_loss=0.022694 batch_time=0.13s elapsed=93.61s
  batch=015/064 train_loss=0.021874 batch_time=0.13s elapsed=93.73s
  batch=016/064 train_loss=0.024491 batch_time=0.13s elapsed=93.86s
  batch=017/064 train_loss=0.022378 batch_time=0.13s elapsed=93.98s
  batch=018/064 train_loss=0.025647 batch_time=0.13s elapsed=94.11s
  batch=019/064 train_loss=0.021833 batch_time=0.13s elapsed=94.24s
  batch=020/064 train_loss=0.020414 batch_time=0.13s elapsed=94.36s
  batch=021/064 train_loss=0.023264 batch_time=0.13s elapsed=94.49s
  batch=022/064 train_loss=0.021754 batch_time=0.13s elapsed=94.61s
  batch=023/064 train_loss=0.022353 batch_time=0.13s elapsed=94.74s
  batch=024/064 train_loss=0.020392 batch_time=0.13s elapsed=94.87s
  batch=025/064 train_loss=0.019031 batch_time=0.13s elapsed=94.99s
  batch=026/064 train_loss=0.019907 batch_time=0.13s elapsed=95.12s
  batch=027/064 train_loss=0.019450 batch_time=0.13s elapsed=95.24s
  batch=028/064 train_loss=0.018618 batch_time=0.13s elapsed=95.37s
  batch=029/064 train_loss=0.019477 batch_time=0.13s elapsed=95.49s
  batch=030/064 train_loss=0.021589 batch_time=0.13s elapsed=95.62s
  batch=031/064 train_loss=0.020003 batch_time=0.13s elapsed=95.75s
  batch=032/064 train_loss=0.018308 batch_time=0.13s elapsed=95.87s
  batch=033/064 train_loss=0.017481 batch_time=0.13s elapsed=96.00s
  batch=034/064 train_loss=0.017895 batch_time=0.13s elapsed=96.12s
  batch=035/064 train_loss=0.017288 batch_time=0.13s elapsed=96.25s
  batch=036/064 train_loss=0.019152 batch_time=0.13s elapsed=96.37s
  batch=037/064 train_loss=0.017287 batch_time=0.13s elapsed=96.50s
  batch=038/064 train_loss=0.017415 batch_time=0.13s elapsed=96.63s
  batch=039/064 train_loss=0.017160 batch_time=0.13s elapsed=96.75s
