device=gpu kind=NVIDIA A100-SXM4-40GB
loading datasets...
train=(4096, 128, 128, 3), val=(512, 128, 128, 3)
=== RGB E2E CNN Experiment ===
train_npz=/lustre06/project/6102186/liamfitz/fouriax/experiments/data/cartoon_faces_nx128_shards
valid_npz=/lustre06/project/6102186/liamfitz/fouriax/experiments/data/cartoon_faces_nx128_shards
grids: sensor=128x128 @ 0.70 um, meta/field=128x128 @ 0.70 um
wavelengths_um=[1.3       1.1304348 1.       ]
epochs=50, batch_size=16, optical_lr=5.00e-03, decoder_lr=1.00e-03
optimizing...
epoch=001/050 batches=256 elapsed=0.00s
  batch=001/256 train_loss=0.101330 batch_time=95.71s elapsed=95.71s
  batch=002/256 train_loss=40.208939 batch_time=0.16s elapsed=95.87s
  batch=003/256 train_loss=0.064299 batch_time=0.15s elapsed=96.02s
  batch=004/256 train_loss=0.066483 batch_time=0.13s elapsed=96.16s
  batch=005/256 train_loss=0.071217 batch_time=0.13s elapsed=96.29s
  batch=006/256 train_loss=0.077565 batch_time=0.13s elapsed=96.43s
  batch=007/256 train_loss=0.055692 batch_time=0.13s elapsed=96.56s
  batch=008/256 train_loss=0.068444 batch_time=0.13s elapsed=96.69s
  batch=009/256 train_loss=0.062217 batch_time=0.13s elapsed=96.83s
  batch=010/256 train_loss=0.068283 batch_time=0.13s elapsed=96.96s
  batch=011/256 train_loss=0.072743 batch_time=0.13s elapsed=97.09s
  batch=012/256 train_loss=0.076209 batch_time=0.13s elapsed=97.23s
  batch=013/256 train_loss=0.078899 batch_time=0.13s elapsed=97.36s
  batch=014/256 train_loss=0.065963 batch_time=0.13s elapsed=97.50s
  batch=015/256 train_loss=0.068258 batch_time=0.13s elapsed=97.63s
  batch=016/256 train_loss=0.073991 batch_time=0.13s elapsed=97.76s
  batch=017/256 train_loss=0.057418 batch_time=0.13s elapsed=97.90s
  batch=018/256 train_loss=0.070180 batch_time=0.13s elapsed=98.03s
  batch=019/256 train_loss=0.066446 batch_time=0.13s elapsed=98.16s
  batch=020/256 train_loss=0.063816 batch_time=0.13s elapsed=98.30s
  batch=021/256 train_loss=0.063178 batch_time=0.13s elapsed=98.43s
  batch=022/256 train_loss=0.067310 batch_time=0.13s elapsed=98.57s
  batch=023/256 train_loss=0.066393 batch_time=0.13s elapsed=98.70s
  batch=024/256 train_loss=0.057794 batch_time=0.13s elapsed=98.83s
  batch=025/256 train_loss=0.054242 batch_time=0.13s elapsed=98.97s
  batch=026/256 train_loss=0.066834 batch_time=0.13s elapsed=99.10s
  batch=027/256 train_loss=0.110513 batch_time=0.13s elapsed=99.23s
  batch=028/256 train_loss=0.062362 batch_time=0.13s elapsed=99.37s
  batch=029/256 train_loss=0.064061 batch_time=0.13s elapsed=99.50s
  batch=030/256 train_loss=0.070096 batch_time=0.13s elapsed=99.64s
  batch=031/256 train_loss=0.066413 batch_time=0.13s elapsed=99.77s
  batch=032/256 train_loss=0.058161 batch_time=0.13s elapsed=99.90s
  batch=033/256 train_loss=0.058424 batch_time=0.13s elapsed=100.04s
  batch=034/256 train_loss=0.059649 batch_time=0.13s elapsed=100.17s
  batch=035/256 train_loss=0.054800 batch_time=0.13s elapsed=100.30s
  batch=036/256 train_loss=0.051118 batch_time=0.13s elapsed=100.44s
  batch=037/256 train_loss=0.055692 batch_time=0.13s elapsed=100.57s
  batch=038/256 train_loss=0.060399 batch_time=0.13s elapsed=100.70s
  batch=039/256 train_loss=0.053918 batch_time=0.13s elapsed=100.84s
  batch=040/256 train_loss=0.055123 batch_time=0.13s elapsed=100.97s
  batch=041/256 train_loss=0.043585 batch_time=0.13s elapsed=101.11s
  batch=042/256 train_loss=0.061503 batch_time=0.13s elapsed=101.24s
  batch=043/256 train_loss=0.061419 batch_time=0.13s elapsed=101.37s
  batch=044/256 train_loss=0.056895 batch_time=0.13s elapsed=101.51s
  batch=045/256 train_loss=0.056084 batch_time=0.13s elapsed=101.64s
