device=gpu kind=NVIDIA A100-SXM4-40GB
loading datasets...
train=(4096, 64, 64, 3), val=(512, 64, 64, 3)
=== RGB E2E CNN Experiment ===
train_npz=/lustre06/project/6102186/liamfitz/fouriax/experiments/data/cartoon_faces_nx64_shards
valid_npz=/lustre06/project/6102186/liamfitz/fouriax/experiments/data/cartoon_faces_nx64_shards
grids: sensor=64x64 @ 3.50 um, meta/field=320x320 @ 0.70 um
wavelengths_um=[1.3       1.1304348 1.       ]
epochs=50, batch_size=128, optical_lr=5.00e-02, decoder_lr=1.00e-03
optimizing...
epoch=001/050 batches=32 elapsed=0.00s
  batch=001/032 train_loss=0.092817 batch_time=74.31s elapsed=74.31s
  batch=002/032 train_loss=37.730602 batch_time=0.26s elapsed=74.58s
  batch=003/032 train_loss=0.067438 batch_time=0.22s elapsed=74.81s
  batch=004/032 train_loss=0.080391 batch_time=0.22s elapsed=75.03s
  batch=005/032 train_loss=0.067118 batch_time=0.22s elapsed=75.26s
  batch=006/032 train_loss=0.053097 batch_time=0.22s elapsed=75.48s
  batch=007/032 train_loss=0.174010 batch_time=0.22s elapsed=75.70s
  batch=008/032 train_loss=0.053198 batch_time=0.22s elapsed=75.93s
  batch=009/032 train_loss=0.062694 batch_time=0.22s elapsed=76.15s
  batch=010/032 train_loss=0.065078 batch_time=0.22s elapsed=76.38s
  batch=011/032 train_loss=0.062039 batch_time=0.22s elapsed=76.60s
  batch=012/032 train_loss=0.066150 batch_time=0.22s elapsed=76.83s
  batch=013/032 train_loss=0.057888 batch_time=0.22s elapsed=77.05s
  batch=014/032 train_loss=0.053673 batch_time=0.22s elapsed=77.28s
  batch=015/032 train_loss=0.055338 batch_time=0.22s elapsed=77.50s
  batch=016/032 train_loss=0.054340 batch_time=0.22s elapsed=77.73s
  batch=017/032 train_loss=0.050247 batch_time=0.22s elapsed=77.95s
  batch=018/032 train_loss=0.048360 batch_time=0.22s elapsed=78.18s
  batch=019/032 train_loss=0.048811 batch_time=0.22s elapsed=78.40s
  batch=020/032 train_loss=0.046266 batch_time=0.22s elapsed=78.62s
  batch=021/032 train_loss=0.044184 batch_time=0.22s elapsed=78.85s
  batch=022/032 train_loss=0.048724 batch_time=0.22s elapsed=79.07s
  batch=023/032 train_loss=0.044049 batch_time=0.23s elapsed=79.30s
  batch=024/032 train_loss=0.041069 batch_time=0.22s elapsed=79.52s
  batch=025/032 train_loss=0.040154 batch_time=0.22s elapsed=79.75s
  batch=026/032 train_loss=0.237625 batch_time=0.22s elapsed=79.97s
  batch=027/032 train_loss=0.072427 batch_time=0.22s elapsed=80.19s
  batch=028/032 train_loss=0.042821 batch_time=0.22s elapsed=80.42s
  batch=029/032 train_loss=0.048860 batch_time=0.23s elapsed=80.65s
  batch=030/032 train_loss=0.044603 batch_time=0.22s elapsed=80.87s
  batch=031/032 train_loss=0.044771 batch_time=0.22s elapsed=81.09s
  batch=032/032 train_loss=0.043068 batch_time=0.23s elapsed=81.32s
->epoch=001/050 val_loss=0.042550 train_loss=0.043068 epoch_time=122.38s elapsed=122.38s [best]
epoch=002/050 batches=32 elapsed=122.38s
  batch=001/032 train_loss=0.044037 batch_time=0.24s elapsed=122.62s
  batch=002/032 train_loss=0.040701 batch_time=0.23s elapsed=122.84s
  batch=003/032 train_loss=0.041002 batch_time=0.22s elapsed=123.07s
  batch=004/032 train_loss=0.037045 batch_time=0.22s elapsed=123.30s
  batch=005/032 train_loss=0.036886 batch_time=0.23s elapsed=123.52s
  batch=006/032 train_loss=0.032898 batch_time=0.22s elapsed=123.75s
  batch=007/032 train_loss=0.036888 batch_time=0.22s elapsed=123.97s
  batch=008/032 train_loss=0.034491 batch_time=0.22s elapsed=124.20s
  batch=009/032 train_loss=0.030668 batch_time=0.22s elapsed=124.42s
  batch=010/032 train_loss=0.034610 batch_time=0.23s elapsed=124.65s
  batch=011/032 train_loss=0.028672 batch_time=0.23s elapsed=124.88s
  batch=012/032 train_loss=0.031743 batch_time=0.23s elapsed=125.11s
  batch=013/032 train_loss=0.026367 batch_time=0.23s elapsed=125.34s
  batch=014/032 train_loss=0.024600 batch_time=0.22s elapsed=125.56s
  batch=015/032 train_loss=0.028081 batch_time=0.22s elapsed=125.79s
  batch=016/032 train_loss=0.025500 batch_time=0.22s elapsed=126.01s
  batch=017/032 train_loss=0.025227 batch_time=0.22s elapsed=126.24s
  batch=018/032 train_loss=0.023821 batch_time=0.22s elapsed=126.47s
  batch=019/032 train_loss=0.024296 batch_time=0.22s elapsed=126.69s
  batch=020/032 train_loss=0.023155 batch_time=0.22s elapsed=126.92s
  batch=021/032 train_loss=0.024879 batch_time=0.22s elapsed=127.14s
  batch=022/032 train_loss=0.023073 batch_time=0.22s elapsed=127.37s
  batch=023/032 train_loss=0.025060 batch_time=0.22s elapsed=127.59s
  batch=024/032 train_loss=0.022869 batch_time=0.22s elapsed=127.81s
  batch=025/032 train_loss=0.025055 batch_time=0.22s elapsed=128.04s
  batch=026/032 train_loss=0.023025 batch_time=0.22s elapsed=128.26s
  batch=027/032 train_loss=0.022528 batch_time=0.22s elapsed=128.49s
  batch=028/032 train_loss=0.024209 batch_time=0.22s elapsed=128.71s
  batch=029/032 train_loss=0.026026 batch_time=0.22s elapsed=128.94s
