na_stop,lens_aperture_um,f_um,mse_4f_vs_raw_abs,mse_k_vs_raw_abs,mse_4f_vs_k_abs,mse_4f_vs_raw_norm,mse_k_vs_raw_norm,mse_4f_vs_k_norm,throughput_4f,throughput_k,throughput_raw,k_stop_pixels,spatial_stop_pixels
0.08,180.0,481.203007518797,0.006090268027037382,0.0,0.006090268027037382,3.5381381158217096e-10,0.0,3.5381381158217096e-10,3600.806396484375,5127.302734375,5127.302734375,4669,4669
0.08,240.0,481.203007518797,0.0073050218634307384,0.0,0.0073050218634307384,4.590909874480076e-10,0.0,4.590909874480076e-10,3750.32958984375,6501.09375,6501.09375,4669,4669
0.08,320.0,481.203007518797,0.008426452055573463,0.0,0.008426452055573463,5.877147657429305e-10,0.0,5.877147657429305e-10,3783.9384765625,7701.42578125,7701.42578125,4669,4669
0.08,500.0,481.203007518797,0.008540241047739983,0.0,0.008540241047739983,6.012008668676572e-10,0.0,6.012008668676572e-10,3784.53955078125,7820.92041015625,7820.92041015625,4669,4669
0.1,80.0,481.203007518797,0.00808918196707964,0.0,0.00808918196707964,8.550241625826516e-10,0.0,8.550241625826516e-10,2675.86767578125,3288.806396484375,3288.806396484375,7289,7289
0.1,120.0,481.203007518797,0.00816405937075615,0.0,0.00816405937075615,5.67712599153225e-10,0.0,5.67712599153225e-10,3196.09130859375,3984.362548828125,3984.362548828125,7289,7289
0.1,180.0,481.203007518797,0.008203528821468353,0.0,0.008203528821468353,4.234422812388061e-10,0.0,4.234422812388061e-10,3629.78857421875,5212.77783203125,5212.77783203125,7289,7289
0.1,240.0,481.203007518797,0.009176241233944893,0.0,0.009176241233944893,4.833217159827541e-10,0.0,4.833217159827541e-10,3791.28271484375,6591.783203125,6591.783203125,7289,7289
0.1,320.0,481.203007518797,0.010306743904948235,0.0,0.010306743904948235,5.959253090992433e-10,0.0,5.959253090992433e-10,3827.003173828125,7789.16748046875,7789.16748046875,7289,7289
0.1,500.0,481.203007518797,0.010422569699585438,0.0,0.010422569699585438,6.080971282074188e-10,0.0,6.080971282074188e-10,3827.60107421875,7907.79443359375,7907.79443359375,7289,7289
