n,dx_um,z_ratio,z_um,z_crit_um,policy_method,method,runtime_ms_median,mae_vs_airy,is_best_accuracy,is_fastest
128,1.0,0.5,120.30075069360423,240.60150138720846,asm,asm_base,0.7121670059859753,0.010203964753636918,1,1
128,1.0,0.5,120.30075069360423,240.60150138720846,asm,asm_planned_s2,39.16058299364522,0.010732577640774487,0,0
128,1.0,0.5,120.30075069360423,240.60150138720846,asm,rs_base,1.3107499980833381,0.06405308606921631,0,0
128,1.0,0.5,120.30075069360423,240.60150138720846,asm,rs_planned_s2,412.7053749980405,0.016837151612017133,0,0
128,1.0,2.0,481.2030027744169,240.60150138720846,rs,asm_base,0.6647499976679683,0.005398430343448436,0,1
128,1.0,2.0,481.2030027744169,240.60150138720846,rs,asm_planned_s2,40.01570900436491,0.0040383767683573645,0,0
128,1.0,2.0,481.2030027744169,240.60150138720846,rs,rs_base,1.0936659818980843,0.025843649465126153,0,0
128,1.0,2.0,481.2030027744169,240.60150138720846,rs,rs_planned_s2,409.8996249958873,0.0015558995570880022,1,0
